Atributo;Nome Gerencial;O que é;Categoria DRE - Sintético;Categoria DRE - Analítico
Quantidade Encargos;QUANTIDADE DE BENEFICIO ENCARGO REMUNERADO;Quantidade sobre a qual os encargos são remunerados. O rótulo veio com a palavra 'benefício' no meio, aparentemente herdada da linha de cima — vale confirmar se a base é a mesma.;Direcionador (não entra na DRE);Estrutura ADM — Encargos e provisões
Quantidade Frota Leve;QUANTIDADE DE FROTA LEVE REMUNERADO;Quantos veículos de frota leve o cargo tem direito a ter remunerados.;Direcionador (não entra na DRE);Estrutura ADM — Frota leve
Quantidade Ordenados;QUANTIDADE DE QLP REMUNERADO;Quantas posições do cargo o QLP remunera — o efetivo reconhecido. É esta quantidade que o benchmark confronta.;Direcionador (não entra na DRE);Estrutura ADM — Ordenados
Quantidade Telefonia;QUANTIDADE DE TELEFONIA REMUNERADO;Quantas linhas/aparelhos são remunerados no cargo.;Direcionador (não entra na DRE);Estrutura ADM — Telefonia
Quantidade Uniformes;QUANTIDADE DE UNIFORMES REMUNERADOS;Quantos uniformes são remunerados no cargo.;Direcionador (não entra na DRE);Estrutura ADM — Uniformes
Salário Encargos;CALCULO DE SALARIOS MAIS ENCARGOS;Salário do cargo já com encargos — o custo unitário para quem paga, e não o que a pessoa recebe. É parâmetro unitário: multiplicado pela quantidade é que vira despesa.;(−) Custo fixo — parâmetro unitário (não soma);Estrutura ADM — Encargos e provisões
Salário Ordenados;CALCULO DE SALARIOS ORDENADOS;Salário unitário do cargo, sem encargos. Multiplicado por Quantidade Ordenados produz Despesa Ordenados — somar os dois é contar o mesmo salário duas vezes.;(−) Custo fixo — parâmetro unitário (não soma);Estrutura ADM — Ordenados
Vale Transporte;CALCULO DO VALE TRANSPORTE ORDENADO;Vale-transporte do quadro ordenado. Atenção: confirmar se ele já está dentro de Despesa Benefício ou se soma à parte — as duas leituras são plausíveis pelos rótulos, e elas diferem pelo valor inteiro do VT.;(−) Custo fixo — estrutura administrativa;Estrutura ADM — Transporte
Valor Benefício;VALOR DO BENEFICIO REMUNERADO;Valor unitário do benefício. Parâmetro: só vira dinheiro multiplicado por Quantidade Benefício.;(−) Custo fixo — parâmetro unitário (não soma);Estrutura ADM — Benefícios
Valor Frota Leve;VALOR DE FROTA LEVE REMUNERADO;Valor unitário de um veículo de frota leve — aluguel ou custo mensal reconhecido. Parâmetro.;(−) Custo fixo — parâmetro unitário (não soma);Estrutura ADM — Frota leve
Valor Telefonia;VALOR DE TELEFONIA REMUNERADA;Valor unitário da linha de telefonia. Parâmetro.;(−) Custo fixo — parâmetro unitário (não soma);Estrutura ADM — Telefonia
Valor Uniformes;VALOR DE UNIFORMES REMUNERADO;Valor unitário do uniforme. Parâmetro.;(−) Custo fixo — parâmetro unitário (não soma);Estrutura ADM — Uniformes
_id;Identificador do registro;Chave técnica do documento no banco. Sem leitura de negócio — serve para rastrear a linha entre cargas.;Cadastral (não entra na DRE);Cadastro — Chave técnica
