Atributo;Nome Gerencial;O que é;Categoria DRE
manutencaoVidaMeses;CALCULO DE VIDA DO VEICULO PARA MANUTENÇÃO DE CAVALO;Idade do cavalo em meses, para efeito de manutenção. É o mesmo relógio de combustivelVidaCavalo em outra unidade: a razão entre os dois fica entre 12,07 e 12,50, mediana 12,17.;Direcionador operacional (não entra na DRE)
mesDeEntrada;MÊS DE ENTRADA DO VEICULO NO FREIGHTECH;Mês de entrada do veículo no Freightech.;Cadastral (não entra na DRE)
modeloEmpurrada;MODELO DE CAMINHÃO;Modelo do caminhão. Junto com a montadora, é o que liga o veículo às tabelas de consumo e de manutenção.;Cadastral (não entra na DRE)
montadora;MONTADORA DO VEICULO;Montadora do veículo, com o prefixo do cadastro de origem ('Descrição: VOLVO'). Bate letra por letra com as telas de consumo e de BID — é um dos eixos das duas matrizes.;Cadastral (não entra na DRE)
odometroEntrada;KILOMETRAGEM ATUAL DO VEICULO;Hodômetro na entrada. Descreve o ativo: muda uma vez por placa, em 62 de 62, sem mover nenhum valor monetário na mesma transição.;Cadastral (não entra na DRE)
percentualEntrada;CALCULO PARA % DE ENTRADA PARA VEICULOS COMPRADOS APÓS 2018;Percentual de entrada do financiamento. É 20% em toda a frota — o par de periodoFiname 60 na tabela de entrada por prazo do Freightech. Entrada maior reduz o valor financiado e, com ele, a parcela.;(−) Depreciação e financeiro
percentualIcms;% DE ICMS CONFORME COMPRA DO VEICULO;Alíquota de ICMS conforme a compra do veículo. Alíquota não é montante: o dinheiro correspondente está em valorIcms.;(−) Deduções
percentualReajusteAplicado;CALCULO DE % APLICADO SOBRE A FAIXA DE KM PARA CONTRATO DE MANUTENÇÃO;Reajuste aplicado sobre a faixa de km no contrato de manutenção. Subiu em 4 cavalos (16,85% → 20,56% e 7,03% → 7,48%), sempre para cima.;(−) Custo variável — Manutenção
periodoFiname;PERIODO DE FINAME DO VEICULO;Prazo do FINAME **em meses** — 60 nos 558 cavalos. É o divisor da amortização, e o prazo em meses não é suposição: é o que a razão medida de 1,081 comprova.;(−) Depreciação e financeiro
pneuMedidaEmpurrada;MEDIDA DO PNEU DO CAVALO;Medida do pneu do cavalo. Define qual preço de pneu se aplica ao veículo.;(−) Custo variável — Pneus
reaiskm;R$ KM MANUTENÇÃO CONFORME CONTRATO;R$/km de manutenção pelo contrato — o valor da linha do veículo na tabela de contrato de manutenção, já resolvido para a faixa em que ele está. Mesma família de razão: sem km, não vira montante.;(−) Custo variável — Manutenção
regiaoEmpurrada;REGIÃO DE OPERAÇÃO;Região em que a empurrada opera. Define os parâmetros regionais aplicados ao veículo.;Cadastral (não entra na DRE)
statusFinanciamentoT1Shared;STATUS FINANCIAMENTO;Situação do financiamento do veículo — se ainda amortiza ou já entrou no ciclo em que o valor migra do FINAME para o lucro fixo.;Cadastral (não entra na DRE)
tipoCombustivelEmpurrada;TIPO DE MODELO DE CONSUMO DE COMBUSTIVEL;Qual modelo de consumo/combustível a empurrada usa. Troca a tabela de preço aplicada — diesel, diesel S10, ARLA.;(−) Custo variável — Combustível
valorIcms;CALCULO PARA CRÉDITO DE ICMS SOBRE INSUMOS;Crédito de ICMS sobre insumos, em reais. A coluna existe e vem **zerada nas 558 linhas** do cavalo: é coluna sem dado, não imposto zero — vale perguntar à Ambev se deixou de ser preenchida.;(−) Deduções
valorNfCompra;VALOR DE COMPRA DA NOTA FISCAL;Valor da nota fiscal de compra. Confirmado PONTUAL: nunca varia nas 9 vigências. É a base de três contas — o valor financiado (× (1 − entrada%)), o IPVA (1,000% a.a.) e o PIS/COFINS de aquisição (9,250%).;Grandeza de aquisição (não entra na DRE do período)
valorPisCofins;VALOR DE PIS COFINS SOBRE O VALOR DE NOTA FISCAL DE COMPRA;PIS/COFINS sobre a nota de compra do ativo: exatamente 9,250% de valorNfCompra, desvio 0,0000 nos 132 ativos, e nunca varia na série. É tributo de **aquisição**, não dedução sobre a prestação — e por isso a dedução de PIS/COFINS do serviço continua faltando.;Grandeza de aquisição (não entra na DRE do período)
valorPneu;VALOR DE PNEUS CONFORME COMPRA;Valor de pneus conforme a compra. Existe e é **zero nas 558 linhas** — perguntar à Ambev se o custo de pneu está embutido em outra linha ou se a coluna parou de ser preenchida.;(−) Custo variável — Pneus
valorReajustado;CALCULO DO VALOR REAJUSTADO DE REAIS KM;R$/km já reajustado — o resultado de aplicar percentualReajusteAplicado sobre a faixa. Razão em R$/km: não soma com montantes mensais nem anuais.;(−) Custo variável — Manutenção
